Rainfall,Max Temperature,Min Temperature,Relative Humidity,Flood
0,34.7,18.5,53,0
0,36.5,21.3,65,0
0,35.5,18.9,77,0
0,36.1,20.6,89,0
0,37.5,20.5,46,0
0,37.5,23.1,60,0
0,38.2,22.1,56,0
0,38,24.2,58,0
76.7,37.9,26.3,62,0
23.3,37.3,25.1,72,1
39.4,38,26.3,70,1
44.3,36.9,23.9,66,1
85.5,35.8,24.9,72,1
78.3,37,25,73,1
163.9,34.2,24.1,74,1
170.2,36.4,23.2,69,1
187.4,33.8,24.5,77,1
201.2,33.6,23.8,75,1
158.3,32.3,23.4,79,1
183.8,34.6,22.9,75,1
225.3,32.2,24,79,1
273.2,31.7,22.6,82,1
213.1,31,22.5,82,1
154.2,31.8,23.8,75,1
203.5,30.8,23.6,77,1
66.3,30.5,22.2,79,1
298.9,31,22.7,79,1
123.9,32.4,24.1,75,1
21.4,31.4,23.6,72,1
296.9,30.4,23.1,81,1
344.5,29.6,22.1,81,1
253.4,30.9,25.1,78,1
307.3,29.9,23.4,80,1
168.1,31.3,24,78,1
115.9,30.6,22.6,79,1
265.9,31,24.9,80,1
108.9,32,24.1,75,1
107.3,32.3,23.6,76,1
121.3,31.9,22.3,74,1
173.9,33.2,23.8,80,1
0,34.5,23,65,0
11.7,33.8,22.5,72,0
0,35.3,21.4,66,0
16.9,34.5,21.8,69,0
0,35.9,22.1,62,0
0,35.7,21.8,66,0
0,35.3,18.4,58,0
0,35.6,18.7,58,0
0,34.8645161290323,17.9258064516129,64.1935483870968,0
60.7,37.3535714285714,25.1035714285714,62.2693452380952,1
79.1,35.8161290322581,26.2612903225806,65.6102150537634,1
30.7,34.54,25.8333333333333,72.0055555555556,1
115.8,31.9,24.4516129032258,80.4811827956989,1
145.9,32.1666666666667,24.0833333333333,82.9722222222222,1
277.4,31.1064516129032,23.4290322580645,84.4112903225806,1
245.4,30.5774193548387,23.4161290322581,83.9166666666666,1
209.1,30.72,22.64,84.6625,1
133.7,32.7612903225806,23.4612903225806,81.8198924731183,1
5,34.5633333333333,22.67,75.2388888888889,0
0,34.1870967741936,18.4709677419355,70.8754357201938,0
0,35.9516129032258,20.2838709677419,50.0322580645161,0
0,36.4821428571429,22.725,52.2758620689655,0
81.8,38.2322580645161,26.1774193548387,65.4838709677419,1
93.5,36.3766666666667,26.67,65.8309027777778,1
176.6,33.9677419354839,25.258064516129,73.0645161290323,1
108.5,31.5933333333333,24.27,59.7647569444444,1
120.8,31.1,23.9774193548387,78.4693380376344,1
350.5,30.5387096774194,23.9354838709677,77.9863071236559,1
109.6,31.01,23.4433333333333,79.0016493055555,1
76.8,31.0129032258065,23.5612903225806,73.3870967741936,1
0,34.29,22.5033333333333,68.2666666666667,1
0,35.1677419354839,18.6354838709677,54.6099330357143,0
0,34.7483870967742,18.5741935483871,53.3810483870968,0
0,37.5068965517241,21.0896551724138,51.9972098214286,1
0,37.9451612903226,26.3193548387097,57.735839093702,1
143.2,35.8,24.9566666666667,64.5569444444445,1
136.6,33.8096774193548,24.5,72.6476814516129,1
244.7,32.2766666666667,24.01,76.3772569444445,1
142.3,30.9870967741935,23.6451612903226,78.7234543010753,1
213.9,31.4483870967742,23.6645161290323,79.5315860215054,1
375.3,29.9833333333333,23.4066666666667,78.6411458333334,1
36.6,32.0290322580645,24.0483870967742,74.8350134408602,1
0,35.4,23.1466666666667,65.3269097222222,1
0,35.9258064516129,22.1193548387097,56.6505874837528,0
0,36.4806451612903,21.3290322580645,72.2903225806452,0
127.8,37.5586206896552,23.2034482758621,69.3571428571429,1
0,37.7064516129032,25.1516129032258,72.0161290322581,1
83.1,36.89,24.9433333333333,75.2,1
239.1,33.4,23.7,74.9032258064516,1
130.2,31.7633333333333,22.6066666666667,77.2,1
225.9,30.6193548387097,22.2451612903226,79.0967741935484,1
197.5,30.7064516129032,23.2322580645161,79.3548387096774,1
286,31.3666666666667,23.91,79.9333333333333,1
81.1,32.8161290322581,23.9548387096774,73.7096774193548,1
0,34.5266666666667,23.6933333333333,69.9,1
0,35.3033333333333,19.2466666666667,59.9354838709677,0
0,35.4903225806452,18.8935483870968,58.3870967741936,0
0,38.251724137931,22.2379310344828,52.5357142857143,0
21.8,37.9709677419355,26.3032258064516,62.7741935483871,0
56,34.0933333333333,23.9733333333333,65.4,1
169.1,32.31,23.31,71.6451612903226,1
154,31.0333333333333,22.5033333333333,74.5333333333333,1
106.7,30.8483870967742,22.6258064516129,78.9032258064516,1
193.7,29.6,22.1806451612903,79.1612903225806,1
438.2,30.7866666666667,22.5366666666667,79.1666666666667,1
139.3,32.0225806451613,22.3290322580645,78.1290322580645,1
2.1,35.165,21.65,70.2143731725146,1
0,35.2533333333333,18.3333333333333,56.3958385428435,1
0,36.1,19.2,52,0
0,38.1,25,53,0
32.3,34,26.1,64,0
19.5,38.2,26.7,63,1
34.9,34.9,25.2,69,1
31.5,31.5,24.4,78,1
38.9,31.7,23.9,77,1
182.8,31.1,23.7,76,1
175,32,23.4,77,1
103.5,32.3,23.5,77,0
0,35.3,23.5,59,0
0,36.2,18.5,58,0
